出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1150514","11504","7862","聚泰","紡織纖維","33329","42819","60483","-22.163058455358602","-44.89525982507482","169231","237644","-28.788019053710592","-"
"1150514","11504","7863","中科物流","航運業","33054","31957","32997","3.4327377413399254","0.1727429766342395","117567","114090","3.0475940047331056","無"
"1150514","11504","7865","金聯成","綠能環保","33029","23166","32480","42.575325908659245","1.6902709359605912","116083","121636","-4.56526028478411","-"
"1150514","11504","7866","丹立","半導體業","860565","836266","289026","2.9056544209617514","197.7465695127774","2675288","996324","168.51586431723013","AI記憶體需求增加，價格上漲。"
"1150514","11504","7867","特力屋","居家生活","704101","710080","701754","-0.8420178008111762","0.33444768394622615","3075201","2981739","3.134479577186333","-"
"1150514","11504","7868","聖育","資訊服務業","170346","672386","144079","-74.66544514609168","18.230970509234517","1278966","403197","217.20622921301498","主係客戶需求增加，較去年同期成長。"
"1150514","11504","7869","宏于電機","電機機械","314132","393213","287471","-20.11149173603111","9.274326801659994","1140253","1210094","-5.771535103884491","-"
"1150514","11504","7870","聯剛科技","其他電子業","27536","34191","16959","-19.4641864818227","62.368064154726106","103414","82034","26.062364385498697","係因交貨較去年同期增加"
"1150514","11504","7871","安立璽榮-KY","生技醫療業","0","49","0","-100.0","","49","164","-70.1219512195122","本月無營收"
"1150514","11504","7872","登豐","半導體業","80346","87929","101500","-8.624003457334895","-20.841379310344827","323087","311904","3.585398071201395","-"
"1150514","11504","7875","安圖斯","電腦及週邊設備業","159656","281754","103215","-43.33496596321614","54.68294337063411","851984","574591","48.276600225203666","本月因終端客戶專案需求增加，帶動營收成長。"
"1150514","11504","7876","鼎晉生技","生技醫療業","0","0","0","","","0","0","","係屬新藥研發階段，尚無營收&#160;。"
"1150514","11504","7877","海利普","綠能環保","81380","120236","68929","-32.31644432615855","18.063514630997112","397577","314779","26.303533590233148","-"
"1150514","11504","7878","藥祇","生技醫療業","0","0","0","","","0","0","","尚無營收"
"1150514","11504","7879","益材科技","電機機械","13105","31901","19994","-58.919783078900345","-34.455336600980296","98676","123131","-19.860961090220986","本月因出口船期延滯，致使營業收入較低。"
